173.232.20.29:8800
192.126.165.30:8800
173.232.20.239:8800
192.126.165.84:8800
193.107.200.206:8800
192.126.165.141:8800
50.2.15.211:8800
50.2.15.54:8800
193.107.200.209:8800
192.126.165.52:8800
